Numero;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;Estado Civil;Cônjuge;Morada;Código Postal;Localidade;Telemóvel;Telefone;E-mail;Habilitações Literárias;Cartão de cidadão;N.I.S.S
25;Ayla Pipo;5-1-1978;Portuguesa;Cossourado;Barcelos;Braga;Casado;Euridce Kaká;Rua de Cossourado Nº48;4750;Barcelos;939900641;954329450;Ayla.Pipo@piscinasbarcacellos.pb;Mestrado;48875592;76870679659
26;Tawila Guinho;13-10-1977;Portuguesa;Cristelo;Barcelos;Braga;Solteiro;;Rua de Cristelo Nº69;4750;Barcelos;996801285;943513941;Tawila.Guinho@piscinasbarcacellos.pb;Licenciatura;14482790;48561626495
27;Emeka Careca;22-6-1982;Portuguesa;Fornelos;Barcelos;Braga;Solteiro;;Rua de Fornelos Nº35;4750;Barcelos;965461638;952701172;Emeka.Careca@piscinasbarcacellos.pb;Secundário;27667906;88860496693
28;Iego Tatu;6-1-1997;Portuguesa;Fragoso;Barcelos;Braga;Solteiro;;Rua de Fragoso Nº69;4750;Barcelos;939480264;937279192;Iego.Tatu@piscinasbarcacellos.pb;Mestrado;54964199;42530735087
29;Miroslava Lalinha;25-5-1973;Portuguesa;Gilmonde;Barcelos;Braga;Casado;Dominique Mundinho;Rua de Gilmonde Nº91;4750;Barcelos;927229638;924478959;Miroslava.Lalinha@piscinasbarcacellos.pb;Mestrado;46742601;14454844809
30;Hermano Pata;17-9-1996;Portuguesa;Lama;Barcelos;Braga;Casado;Elaina Mosca;Rua de Lama Nº58;4750;Barcelos;920519204;945260577;Hermano.Pata@piscinasbarcacellos.pb;Mestrado;45173959;88842038392
31;Lincoln Peru;5-5-1979;Portuguesa;Lijó;Barcelos;Braga;Solteiro;;Rua de Lijó Nº43;4750;Barcelos;926326729;991465341;Lincoln.Peru@piscinasbarcacellos.pb;Licenciatura;60459695;29942484552
32;Kendrick Dida;23-8-1986;Portuguesa;Manhente;Barcelos;Braga;Solteiro;;Rua de Manhente Nº2;4750;Barcelos;912667573;935196439;Kendrick.Dida@piscinasbarcacellos.pb;Mestrado;56634927;93141998155
33;Osvaldeclenia Edinho;22-11-1981;Portuguesa;Martim;Barcelos;Braga;Casado;Renan Nin;Rua de Martim Nº95;4750;Barcelos;951559196;987126991;Osvaldeclenia.Edinho@piscinasbarcacellos.pb;Licenciatura;32505473;46714807638
34;Luanny Grilo;9-10-1982;Portuguesa;Moure;Barcelos;Braga;Casado;Aylin Lio;Rua de Moure Nº50;4750;Barcelos;962708185;934454269;Luanny.Grilo@piscinasbarcacellos.pb;Mestrado;23046666;16963503143
35;Raphael Juca;27-5-1978;Portuguesa;Oliveira;Barcelos;Braga;Casado;Aleisa Mia;Rua de Oliveira Nº45;4750;Barcelos;911628208;970479428;Raphael.Juca@piscinasbarcacellos.pb;Licenciatura;23141132;89190073241
36;Lais Riquinho;6-11-1982;Portuguesa;Palme;Barcelos;Braga;Casado;Flávio Láu;Rua de Palme Nº80;4750;Barcelos;919709827;921281212;Lais.Riquinho@piscinasbarcacellos.pb;Secundário;35503697;64341398281
37;Rajanbir Furinha;26-10-1981;Portuguesa;Panque;Barcelos;Braga;Solteiro;;Rua de Panque Nº58;4750;Barcelos;950876488;910413183;Rajanbir.Furinha@piscinasbarcacellos.pb;Mestrado;48415393;61520729936
38;Lancelot Vál;17-3-1984;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº93;4750;Barcelos;920356330;925620497;Lancelot.Vál@piscinasbarcacellos.pb;Secundário;28441435;71892942059
39;Gaspard Cacau;9-11-1972;Portuguesa;Pereira;Barcelos;Braga;Casado;Rubi Duquinha;Rua de Pereira Nº78;4750;Barcelos;964893632;932998063;Gaspard.Cacau@piscinasbarcacellos.pb;Mestrado;53594164;69144619887
40;Romero Santinha;26-8-1995;Portuguesa;Perelhal;Barcelos;Braga;Solteiro;;Rua de Perelhal Nº56;4750;Barcelos;961862043;920138228;Romero.Santinha@piscinasbarcacellos.pb;Mestrado;45910590;56571651441
41;Ahnaf Dão;28-1-2000;Portuguesa;Aborim;Barcelos;Braga;Casado;Tyler Gordo;Rua de Aborim Nº91;4750;Barcelos;953606544;987713727;Ahnaf.Dão@piscinasbarcacellos.pb;Secundário;65955952;84045450972
42;Daniyal Duquinha;21-12-1987;Portuguesa;Adães;Barcelos;Braga;Casado;Eugenia Tampinha;Rua de Adães Nº79;4750;Barcelos;980443724;978025710;Daniyal.Duquinha@piscinasbarcacellos.pb;Licenciatura;94830545;33005767366
43;Volodymyr Belo;22-12-1998;Portuguesa;Airó;Barcelos;Braga;Casado;Luísa Bob;Rua de Airó Nº43;4750;Barcelos;996928291;965665977;Volodymyr.Belo@piscinasbarcacellos.pb;Mestrado;50650552;54253422672
44;Lasilis Falcão;7-8-2000;Portuguesa;Aldreu;Barcelos;Braga;Solteiro;;Rua de Aldreu Nº18;4750;Barcelos;924045593;916373671;Lasilis.Falcão@piscinasbarcacellos.pb;Secundário;77288097;50090633299
45;Emma Gordo;15-10-1979;Portuguesa;Alvelos;Barcelos;Braga;Casado;Kyan Beto;Rua de Alvelos Nº83;4750;Barcelos;977372227;978655622;Emma.Gordo@piscinasbarcacellos.pb;Mestrado;67859211;95737024229
46;Ilídio Gina;;28-8-1986;Portuguesa;Arcozelo;Barcelos;Braga;Solteiro;;Rua de Arcozelo Nº28;4750;Barcelos;993911154;981778293;Ilídio.Gina@piscinasbarcacellos.pb;Secundário;18516505;67204437617
47;Talia Losa;25-6-1991;Portuguesa;Balugães;Barcelos;Braga;Solteiro;;Rua de Balugães Nº61;4750;Barcelos;927559685;955532657;Talia.Losa@piscinasbarcacellos.pb;Secundário;52686039;86634738239
48;Gabrieli Fofão;26-3-1995;Portuguesa;Barcelinhos;Barcelos;Braga;Solteiro;;Rua de Barcelinhos Nº10;4750;Barcelos;932697254;931760667;Gabrieli.Fofão@piscinasbarcacellos.pb;Secundário;93873397;39024965784
49;Andrea Peleco;6-5-1972;Portuguesa;Barqueiros;Barcelos;Braga;Solteiro;;Rua de Barqueiros Nº51;4750;Barcelos;911134942;983663364;Andrea.Peleco@piscinasbarcacellos.pb;Mestrado;52151268;96834118573
50;Edjailzen Nenê;9-7-1974;Portuguesa;Cambeses;Barcelos;Braga;Casado;Rouguiatou Duduzinho;Rua de Cambeses Nº38;4750;Barcelos;983187151;960501404;Edjailzen.Nenê@piscinasbarcacellos.pb;Mestrado;15253073;88761191250
51;Zexuan Peu;9-12-2000;Portuguesa;Carapeços;Barcelos;Braga;Casado;Micaela Jujú;Rua de Carapeços Nº20;4750;Barcelos;910058178;938889673;Zexuan.Peu@piscinasbarcacellos.pb;Secundário;86151793;16953570647
52;Vitor Sula;17-8-1974;Portuguesa;Carvalhal;Barcelos;Braga;Solteiro;;Rua de Carvalhal Nº4;4750;Barcelos;968156326;963025525;Vitor.Sula@piscinasbarcacellos.pb;Licenciatura;60852033;71486676595
53;Chuyi Jacaré;28-3-1971;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº58;4750;Barcelos;968573087;916136308;Chuyi.Jacaré@piscinasbarcacellos.pb;Mestrado;24934538;34082751259
55;Mame Chiquinha;8-6-1971;Portuguesa;Cossourado;Barcelos;Braga;Solteiro;;Rua de Cossourado Nº7;4750;Barcelos;983097514;964585868;Mame.Chiquinha@piscinasbarcacellos.pb;Secundário;12097362;68054707915
55;Gisola Lobão;27-8-1981;Portuguesa;Cristelo;Barcelos;Braga;Solteiro;;Rua de Cristelo Nº33;4750;Barcelos;969652739;982340808;Gisola.Lobão@piscinasbarcacellos.pb;Mestrado;91717718;48911157314
56;Freddie Nél;8-2-1997;Portuguesa;Fornelos;Barcelos;Braga;Solteiro;;Rua de Fornelos Nº44;4750;Barcelos;957361292;923237183;Freddie.Nél@piscinasbarcacellos.pb;Mestrado;26536002;30501128429
57;Jeovana Japa;23-6-1992;Portuguesa;Fragoso;Barcelos;Braga;Solteiro;;Rua de Fragoso Nº88;4750;Barcelos;983137582;967706006;Jeovana.Japa@piscinasbarcacellos.pb;Licenciatura;54696935;59640983174
58;Ramsés Melão;18-6-1974;Portuguesa;Gilmonde;Barcelos;Braga;Solteiro;;Rua de Gilmonde Nº67;4750;Barcelos;954651693;994577278;Ramsés.Melão@piscinasbarcacellos.pb;Licenciatura;68727806;80418520256
59;Zhiqi Guinho;10-9-1974;Portuguesa;Lama;Barcelos;Braga;Casado;Jairson Pata;Rua de Lama Nº90;4750;Barcelos;951451133;964318131;Zhiqi.Guinho@piscinasbarcacellos.pb;Licenciatura;30926361;22059505690
60;Maya Neném;28-12-1990;Portuguesa;Lijó;Barcelos;Braga;Casado;Lania Quil;Rua de Lijó Nº92;4750;Barcelos;984989275;935575125;Maya.Neném@piscinasbarcacellos.pb;Licenciatura;74451446;78425292156
61;Ramires Dida;15-3-1986;Portuguesa;Manhente;Barcelos;Braga;Solteiro;;Rua de Manhente Nº39;4750;Barcelos;978809536;931643114;Ramires.Dida@piscinasbarcacellos.pb;Licenciatura;62854261;37475977684
62;Rafaela Losa;11-1-1971;Portuguesa;Martim;Barcelos;Braga;Casado;Leydilson Guta;Rua de Martim Nº67;4750;Barcelos;957765841;981562874;Rafaela.Losa@piscinasbarcacellos.pb;Secundário;93458838;16657048893
63;Lorenza Papa;13-10-1978;Portuguesa;Moure;Barcelos;Braga;Casado;Hérmen Beto;Rua de Moure Nº8;4750;Barcelos;938595981;919901511;Lorenza.Papa@piscinasbarcacellos.pb;Secundário;45117823;71207696519
64;Ísis Quél;26-4-1973;Portuguesa;Oliveira;Barcelos;Braga;Solteiro;;Rua de Oliveira Nº19;4750;Barcelos;956496387;971785119;Ísis.Quél@piscinasbarcacellos.pb;Licenciatura;94081313;30823882837
65;Gonçalo Binho;5-11-1990;Portuguesa;Palme;Barcelos;Braga;Casado;Marcel Dudinha;Rua de Palme Nº82;4750;Barcelos;995224259;949299726;Gonçalo.Binho@piscinasbarcacellos.pb;Licenciatura;57072263;71318273743
66;Helene Pipoca;15-7-1977;Portuguesa;Panque;Barcelos;Braga;Solteiro;;Rua de Panque Nº53;4750;Barcelos;959577661;956110386;Helene.Pipoca@piscinasbarcacellos.pb;Licenciatura;30967423;93548272927
67;Rhoda Quita;6-7-1982;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº92;4750;Barcelos;930959401;967933663;Rhoda.Quita@piscinasbarcacellos.pb;Secundário;54538179;30261435186
68;Morayooluwa Gui;9-3-1980;Portuguesa;Aborim;Barcelos;Braga;Solteiro;;Rua de Aborim Nº75;4750;Barcelos;917484165;950133022;Morayooluwa.Gui@piscinasbarcacellos.pb;Secundário;44349406;68724033253
69;Jubin Zeca;18-9-1971;Portuguesa;Adães;Barcelos;Braga;Casado;Defence Mosca;Rua de Adães Nº93;4750;Barcelos;988871340;919507005;Jubin.Zeca@piscinasbarcacellos.pb;Mestrado;29024092;76924051973
70;Mayline Capela;9-10-1973;Portuguesa;Airó;Barcelos;Braga;Casado;Heluísa Anjinha;Rua de Airó Nº41;4750;Barcelos;944951627;918256507;Mayline.Capela@piscinasbarcacellos.pb;Mestrado;57685788;52023060232
71;Ayana Alê;5-8-1973;Portuguesa;Aldreu;Barcelos;Braga;Casado;Umaro Peru;Rua de Aldreu Nº36;4750;Barcelos;911802989;993547510;Ayana.Alê@piscinasbarcacellos.pb;Secundário;46798329;20756167393
72;Andy Pretinho;24-6-1998;Portuguesa;Alvelos;Barcelos;Braga;Solteiro;;Rua de Alvelos Nº7;4750;Barcelos;941148471;915302458;Andy.Pretinho@piscinasbarcacellos.pb;Licenciatura;11490863;96055332065
73;Edna Duda;27-7-1970;Portuguesa;Arcozelo;Barcelos;Braga;Solteiro;;Rua de Arcozelo Nº28;4750;Barcelos;971533597;937922647;Edna.Duda@piscinasbarcacellos.pb;Secundário;66028022;38324646576
74;Aléxis Sabiá;8-2-1993;Portuguesa;Balugães;Barcelos;Braga;Solteiro;;Rua de Balugães Nº44;4750;Barcelos;992587012;987443288;Aléxis.Sabiá@piscinasbarcacellos.pb;Licenciatura;15893239;80061750668
75;Tshayene Tampinha;14-7-1976;Portuguesa;Barcelinhos;Barcelos;Braga;Solteiro;;Rua de Barcelinhos Nº76;4750;Barcelos;982180030;971361379;Tshayene.Tampinha@piscinasbarcacellos.pb;Mestrado;69236889;53296428095
76;Phelix Loro;19-2-1997;Portuguesa;Barqueiros;Barcelos;Braga;Solteiro;;Rua de Barqueiros Nº74;4750;Barcelos;992052351;968932883;Phelix.Loro@piscinasbarcacellos.pb;Mestrado;80993839;51336509833
77;Ciro Peuzinha;2-5-1997;Portuguesa;Cambeses;Barcelos;Braga;Solteiro;;Rua de Cambeses Nº34;4750;Barcelos;930213430;979282226;Ciro.Peuzinha@piscinasbarcacellos.pb;Mestrado;93329663;55496709603
78;Dailson Chicó;22-8-1976;Portuguesa;Carapeços;Barcelos;Braga;Solteiro;;Rua de Carapeços Nº10;4750;Barcelos;916790301;951824472;Dailson.Chicó@piscinasbarcacellos.pb;Secundário;71278356;70099199817
79;Nirjala Nininho;11-2-1971;Portuguesa;Carvalhal;Barcelos;Braga;Casado;Emaan Alê;Rua de Carvalhal Nº62;4750;Barcelos;919619288;961918492;Nirjala.Nininho@piscinasbarcacellos.pb;Licenciatura;46870048;82196530397
80;Chisom Nôh;19-11-1980;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº43;4750;Barcelos;965558601;972999964;Chisom.Nôh@piscinasbarcacellos.pb;Mestrado;93519121;46993908649
81;Avonlea Dida;28-2-1970;Portuguesa;Cossourado;Barcelos;Braga;Casado;Niriani Guri;Rua de Cossourado Nº11;4750;Barcelos;969983994;956890218;Avonlea.Dida@piscinasbarcacellos.pb;Mestrado;91518692;46529526783
82;Núbia Guta;11-7-1992;Portuguesa;Cristelo;Barcelos;Braga;Casado;Aksinia Quita;Rua de Cristelo Nº38;4750;Barcelos;968265186;930494500;Núbia.Guta@piscinasbarcacellos.pb;Licenciatura;76895507;58679366921
83;Mahakdip Painho;12-2-1975;Portuguesa;Fornelos;Barcelos;Braga;Solteiro;;Rua de Fornelos Nº74;4750;Barcelos;937123397;963441601;Mahakdip.Painho@piscinasbarcacellos.pb;Secundário;66884416;77715599088
84;Geisa Boy;17-3-1988;Portuguesa;Fragoso;Barcelos;Braga;Casado;Debra Binho;Rua de Fragoso Nº59;4750;Barcelos;934031669;938751809;Geisa.Boy@piscinasbarcacellos.pb;Mestrado;46689057;39442855183
85;Ruthnney Furinha;24-5-2000;Portuguesa;Gilmonde;Barcelos;Braga;Casado;Chisom Beto;Rua de Gilmonde Nº7;4750;Barcelos;980633952;948681071;Ruthnney.Furinha@piscinasbarcacellos.pb;Mestrado;94172336;49501800994
86;Gurmehek Lilico;8-3-1984;Portuguesa;Lama;Barcelos;Braga;Solteiro;;Rua de Lama Nº43;4750;Barcelos;993673993;943233593;Gurmehek.Lilico@piscinasbarcacellos.pb;Licenciatura;89267710;39343114484
87;Mouctar Cafú;4-6-1972;Portuguesa;Lijó;Barcelos;Braga;Casado;Janira Pezão;Rua de Lijó Nº11;4750;Barcelos;957153370;933810109;Mouctar.Cafú@piscinasbarcacellos.pb;Secundário;58267355;32416672531
88;Eddie Sena;21-11-1995;Portuguesa;Manhente;Barcelos;Braga;Casado;Denilson Alê;Rua de Manhente Nº28;4750;Barcelos;954880290;933717932;Eddie.Sena@piscinasbarcacellos.pb;Licenciatura;67437228;20201591508
89;Sejal Dado;14-1-1994;Portuguesa;Martim;Barcelos;Braga;Casado;Nicolly Dinha;Rua de Martim Nº71;4750;Barcelos;993100055;924231528;Sejal.Dado@piscinasbarcacellos.pb;Secundário;57231866;79329439605
90;Talia Géu;2-2-1988;Portuguesa;Moure;Barcelos;Braga;Casado;Nataniel Furinha;Rua de Moure Nº44;4750;Barcelos;912204946;943920257;Talia.Géu@piscinasbarcacellos.pb;Secundário;67639948;77074119784
91;Júlia Cecéu;2-1-1998;Braga;Solteiro;;Rua de Oliveira Nº54;4750;Barcelos;969567559;924200548;Júlia.Cecéu@piscinasbarcacellos.pb;Licenciatura;19297257;22804161465
92;Skylar Quinca;27-3-1999;Portuguesa;Palme;Barcelos;Braga;Casado;Casimiro Gil;Rua de Palme Nº65;4750;Barcelos;924233565;956753995;Skylar.Quinca@piscinasbarcacellos.pb;Licenciatura;18620034;90740068985
93;Issa Dedé;12-5-1988;Portuguesa;Panque;Barcelos;Braga;Casado;Destiny Pata;Rua de Panque Nº67;4750;Barcelos;914505783;929494865;Issa.Dedé@piscinasbarcacellos.pb;Secundário;82587759;85336191508
94;Damião Leléo;21-8-1999;Portuguesa;Paradela;Barcelos;Braga;Casado;Marbin Ganso;Rua de Paradela Nº78;4750;Barcelos;950481800;951458034;Damião.Leléo@piscinasbarcacellos.pb;Mestrado;50224744;83445089020
95;Rania Galego;5-12-1983;Portuguesa;Pereira;Barcelos;Braga;Solteiro;;Rua de Pereira Nº18;4750;Barcelos;925437195;926824972;Rania.Galego@piscinasbarcacellos.pb;Licenciatura;73583460;58990443609
96;Sarina Guinho;12-7-1970;Portuguesa;Perelhal;Barcelos;Braga;Solteiro;;Rua de Perelhal Nº51;4750;Barcelos;910255360;975727368;Sarina.Guinho@piscinasbarcacellos.pb;Secundário;44158511;35320277088
97;Zhen Losa;14-12-1976;Portuguesa;Pousa;Barcelos;Braga;Solteiro;;Rua de Pousa Nº41;4750;Barcelos;942715538;934122307;Zhen.Losa@piscinasbarcacellos.pb;Secundário;95316591;75499810170
98;Prinsha Dinha;17-2-1996;Portuguesa;Moure;Barcelos;Braga;Casado;Salvio Leléo;Rua de Moure Nº20;4750;Barcelos;954336237;951435087;Prinsha.Dinha@piscinasbarcacellos.pb;Licenciatura;45889571;61367730521
99;Kiezi Pipo;8-5-1982;Portuguesa;Oliveira;Barcelos;Braga;Casado;Khloé Huck;Rua de Oliveira Nº43;4750;Barcelos;968905180;988881526;Kiezi.Pipo@piscinasbarcacellos.pb;Licenciatura;48674180;15363060467
100;Tawila Dál;15-6-1971;Portuguesa;Palme;Barcelos;Braga;Casado;Malia Flor;Rua de Palme Nº8;4750;Barcelos;981598851;980010509;Tawila.Dál@piscinasbarcacellos.pb;Mestrado;69542798;98031647125
101;Jerykson Belo;27-12-1984;Portuguesa;Panque;Barcelos;Braga;Casado;Cristóvão Tico;Rua de Panque Nº15;4750;Barcelos;920623622;912056522;Jerykson.Belo@piscinasbarcacellos.pb;Mestrado;92844186;49334470941
102;Kendall Linda;21-3-1990;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº36;4750;Barcelos;949114502;920893306;Kendall.Linda@piscinasbarcacellos.pb;Secundário;69345697;75845043106
103;Maxim Bina;28-12-1977;Portuguesa;Pereira;Barcelos;Braga;Solteiro;;Rua de Pereira Nº5;4750;Barcelos;940094459;965515666;Maxim.Bina@piscinasbarcacellos.pb;Secundário;95390143;58557436879
104;César Cecéu;17-12-1974;Portuguesa;Perelhal;Barcelos;Braga;Casado;Estefany Dinha;Rua de Perelhal Nº17;4750;Barcelos;947430698;988588294;César.Cecéu@piscinasbarcacellos.pb;Secundário;55721194;10121136296
105;Rania Láu;27-10-1998;Portuguesa;Aborim;Barcelos;Braga;Solteiro;;Rua de Aborim Nº88;4750;Barcelos;995791466;921110869;Rania.Láu@piscinasbarcacellos.pb;Licenciatura;68428488;86805736764
106;Nuño Dedé;6-7-1989;Portuguesa;Adães;Barcelos;Braga;Solteiro;;Rua de Adães Nº59;4750;Barcelos;975622388;950051659;Nuño.Dedé@piscinasbarcacellos.pb;Licenciatura;95175405;92313472232
107;Jayssan Tita;18-1-1972;Portuguesa;Airó;Barcelos;Braga;Casado;Shyom Chiquinha;Rua de Airó Nº79;4750;Barcelos;972177872;977850583;Jayssan.Tita@piscinasbarcacellos.pb;Secundário;74411803;69716844414
108;Xénon Sena;5-7-1973;Portuguesa;Aldreu;Barcelos;Braga;Solteiro;;Rua de Aldreu Nº15;4750;Barcelos;924905048;946983601;Xénon.Sena@piscinasbarcacellos.pb;Mestrado;68937742;23341339611
109;Rosário Duda;11-7-1972;Portuguesa;Alvelos;Barcelos;Braga;Solteiro;;Rua de Alvelos Nº23;4750;Barcelos;974623711;911601649;Rosário.Duda@piscinasbarcacellos.pb;Mestrado;84254660;64751497745
100;Timéo Dão;3-1-2000;Portuguesa;Arcozelo;Barcelos;Braga;Solteiro;;Rua de Arcozelo Nº81;4750;Barcelos;931007753;983154571;Timéo.Dão@piscinasbarcacellos.pb;Mestrado;64400530;46576464061
111;Adonias Netinho;26-4-1980;Portuguesa;Balugães;Barcelos;Braga;Solteiro;;Rua de Balugães Nº75;4750;Barcelos;916028282;952524320;Adonias.Netinho@piscinasbarcacellos.pb;Licenciatura;44249944;73845318376
112;Adame Milu;24-12-1988;Portuguesa;Barcelinhos;Barcelos;Braga;Casado;Jagger Lalinha;Rua de Barcelinhos Nº31;4750;Barcelos;997440372;954147064;Adame.Milu@piscinasbarcacellos.pb;Licenciatura;43047541;54256223558
113;Otília Xuxa;11-4-1985;Portuguesa;Barqueiros;Barcelos;Braga;Casado;Aleck Bél;Rua de Barqueiros Nº24;4750;Barcelos;996145313;974537874;Otília.Xuxa@piscinasbarcacellos.pb;Licenciatura;51692725;10680284864
114;Reneckson Gil;25-12-1989;Portuguesa;Cambeses;Barcelos;Braga;Casado;Junior Bola;Rua de Cambeses Nº10;4750;Barcelos;927689990;955974718;Reneckson.Gil@piscinasbarcacellos.pb;Secundário;78616797;68005106295
115;Kiuma Déo;6-6-1974;Portuguesa;Carapeços;Barcelos;Braga;Solteiro;;Rua de Carapeços Nº88;4750;Barcelos;935783559;927346147;Kiuma.Déo@piscinasbarcacellos.pb;Licenciatura;19499326;87335748549
