Numero;Função;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;EstCivil;Cônjuge;Morada;CodPostal;Localidade;Telemóvel;Telefone;E-mail;HabLit;;CC
28;1;Iego Tatu;06/01/1997;1;Fragoso;Barcelos;Braga;2;;Rua de Fragoso Nº69;4750;Barcelos;939480264;937279192;Iego.Tatu@piscinasbarcacellos.pb;2;54964199;42530735087
29;1;Miroslava Lalinha;25/05/1973;1;Gilmonde;Barcelos;Braga;1;Dominique Mundinho;Rua de Gilmonde Nº91;4750;Barcelos;927229638;924478959;Miroslava.Lalinha@piscinasbarcacellos.pb;2;46742601;14454844809
30;1;Hermano Pata;17/09/1996;1;Lama;Barcelos;Braga;1;Elaina Mosca;Rua de Lama Nº58;4750;Barcelos;920519204;945260577;Hermano.Pata@piscinasbarcacellos.pb;2;45173959;88842038392
31;1;Lincoln Peru;05/05/1979;1;Lijó;Barcelos;Braga;2;;Rua de Lijó Nº43;4750;Barcelos;926326729;991465341;Lincoln.Peru@piscinasbarcacellos.pb;1;60459695;29942484552
32;1;Kendrick Dida;23/08/1986;1;Manhente;Barcelos;Braga;2;;Rua de Manhente Nº2;4750;Barcelos;912667573;935196439;Kendrick.Dida@piscinasbarcacellos.pb;2;56634927;93141998155
33;1;Osvaldeclenia Edinho;22/11/1981;1;Martim;Barcelos;Braga;1;Renan Nin;Rua de Martim Nº95;4750;Barcelos;951559196;987126991;Osvaldeclenia.Edinho@piscinasbarcacellos.pb;1;32505473;46714807638
34;1;Luanny Grilo;09/10/1982;1;Moure;Barcelos;Braga;1;Aylin Lio;Rua de Moure Nº50;4750;Barcelos;962708185;934454269;Luanny.Grilo@piscinasbarcacellos.pb;2;23046666;16963503143
35;1;Raphael Juca;27/05/1978;1;Oliveira;Barcelos;Braga;1;Aleisa Mia;Rua de Oliveira Nº45;4750;Barcelos;911628208;970479428;Raphael.Juca@piscinasbarcacellos.pb;1;23141132;89190073241
36;1;Lais Riquinho;06/11/1982;1;Palme;Barcelos;Braga;1;Flávio Láu;Rua de Palme Nº80;4750;Barcelos;919709827;921281212;Lais.Riquinho@piscinasbarcacellos.pb;3;35503697;64341398281
37;1;Rajanbir Furinha;26/10/1981;1;Panque;Barcelos;Braga;2;;Rua de Panque Nº58;4750;Barcelos;950876488;910413183;Rajanbir.Furinha@piscinasbarcacellos.pb;2;48415393;61520729936
38;1;Lancelot Vál;17/03/1984;1;Paradela;Barcelos;Braga;2;;Rua de Paradela Nº93;4750;Barcelos;920356330;925620497;Lancelot.Vál@piscinasbarcacellos.pb;3;28441435;71892942059
39;1;Gaspard Cacau;09/11/1972;1;Pereira;Barcelos;Braga;1;Rubi Duquinha;Rua de Pereira Nº78;4750;Barcelos;964893632;932998063;Gaspard.Cacau@piscinasbarcacellos.pb;2;53594164;69144619887
40;1;Romero Santinha;26/08/1995;1;Perelhal;Barcelos;Braga;2;;Rua de Perelhal Nº56;4750;Barcelos;961862043;920138228;Romero.Santinha@piscinasbarcacellos.pb;2;45910590;56571651441
41;1;Ahnaf Dão;28/01/2000;1;Aborim;Barcelos;Braga;1;Tyler Gordo;Rua de Aborim Nº91;4750;Barcelos;953606544;987713727;Ahnaf.Dão@piscinasbarcacellos.pb;3;65955952;84045450972
42;1;Daniyal Duquinha;21/12/1987;1;Adães;Barcelos;Braga;1;Eugenia Tampinha;Rua de Adães Nº79;4750;Barcelos;980443724;978025710;Daniyal.Duquinha@piscinasbarcacellos.pb;1;94830545;33005767366
43;1;Volodymyr Belo;22/12/1998;1;Airó;Barcelos;Braga;1;Luísa Bob;Rua de Airó Nº43;4750;Barcelos;996928291;965665977;Volodymyr.Belo@piscinasbarcacellos.pb;2;50650552;54253422672
44;1;Lasilis Falcão;07/08/2000;1;Aldreu;Barcelos;Braga;2;;Rua de Aldreu Nº18;4750;Barcelos;924045593;916373671;Lasilis.Falcão@piscinasbarcacellos.pb;3;77288097;50090633299
45;1;Emma Gordo;15/10/1979;1;Alvelos;Barcelos;Braga;1;Kyan Beto;Rua de Alvelos Nº83;4750;Barcelos;977372227;978655622;Emma.Gordo@piscinasbarcacellos.pb;2;67859211;95737024229
46;1;Ilídio Gina;28/08/1986;1;Arcozelo;Barcelos;Braga;2;;Rua de Arcozelo Nº28;4750;Barcelos;993911154;981778293;Ilídio.Gina@piscinasbarcacellos.pb;3;18516505;
47;1;Talia Losa;25/06/1991;1;Balugães;Barcelos;Braga;2;;Rua de Balugães Nº61;4750;Barcelos;927559685;955532657;Talia.Losa@piscinasbarcacellos.pb;3;52686039;86634738239
48;1;Gabrieli Fofão;26/03/1995;1;Barcelinhos;Barcelos;Braga;2;;Rua de Barcelinhos Nº10;4750;Barcelos;932697254;931760667;Gabrieli.Fofão@piscinasbarcacellos.pb;3;93873397;39024965784
49;1;Andrea Peleco;06/05/1972;1;Barqueiros;Barcelos;Braga;2;;Rua de Barqueiros Nº51;4750;Barcelos;911134942;983663364;Andrea.Peleco@piscinasbarcacellos.pb;2;52151268;96834118573
50;1;Edjailzen Nenê;09/07/1974;1;Cambeses;Barcelos;Braga;1;Rouguiatou Duduzinho;Rua de Cambeses Nº38;4750;Barcelos;983187151;960501404;Edjailzen.Nenê@piscinasbarcacellos.pb;2;15253073;88761191250
51;1;Zexuan Peu;09/12/2000;1;Carapeços;Barcelos;Braga;1;Micaela Jujú;Rua de Carapeços Nº20;4750;Barcelos;910058178;938889673;Zexuan.Peu@piscinasbarcacellos.pb;3;86151793;16953570647
52;1;Vitor Sula;17/08/1974;1;Carvalhal;Barcelos;Braga;2;;Rua de Carvalhal Nº4;4750;Barcelos;968156326;963025525;Vitor.Sula@piscinasbarcacellos.pb;1;60852033;71486676595
53;1;Chuyi Jacaré;28/03/1971;1;Carvalhas;Barcelos;Braga;2;;Rua de Carvalhas Nº58;4750;Barcelos;968573087;916136308;Chuyi.Jacaré@piscinasbarcacellos.pb;2;24934538;34082751259
55;1;Mame Chiquinha;08/06/1971;1;Cossourado;Barcelos;Braga;2;;Rua de Cossourado Nº7;4750;Barcelos;983097514;964585868;Mame.Chiquinha@piscinasbarcacellos.pb;3;12097362;68054707915
55;1;Gisola Lobão;27/08/1981;1;Cristelo;Barcelos;Braga;2;;Rua de Cristelo Nº33;4750;Barcelos;969652739;982340808;Gisola.Lobão@piscinasbarcacellos.pb;2;91717718;48911157314
56;1;Freddie Nél;08/02/1997;1;Fornelos;Barcelos;Braga;2;;Rua de Fornelos Nº44;4750;Barcelos;957361292;923237183;Freddie.Nél@piscinasbarcacellos.pb;2;26536002;30501128429
57;1;Jeovana Japa;23/06/1992;1;Fragoso;Barcelos;Braga;2;;Rua de Fragoso Nº88;4750;Barcelos;983137582;967706006;Jeovana.Japa@piscinasbarcacellos.pb;1;54696935;59640983174
58;1;Ramsés Melão;18/06/1974;1;Gilmonde;Barcelos;Braga;2;;Rua de Gilmonde Nº67;4750;Barcelos;954651693;994577278;Ramsés.Melão@piscinasbarcacellos.pb;1;68727806;80418520256
59;1;Zhiqi Guinho;10/09/1974;1;Lama;Barcelos;Braga;1;Jairson Pata;Rua de Lama Nº90;4750;Barcelos;951451133;964318131;Zhiqi.Guinho@piscinasbarcacellos.pb;1;30926361;22059505690
60;1;Maya Neném;28/12/1990;1;Lijó;Barcelos;Braga;1;Lania Quil;Rua de Lijó Nº92;4750;Barcelos;984989275;935575125;Maya.Neném@piscinasbarcacellos.pb;1;74451446;78425292156
61;1;Ramires Dida;15/03/1986;1;Manhente;Barcelos;Braga;2;;Rua de Manhente Nº39;4750;Barcelos;978809536;931643114;Ramires.Dida@piscinasbarcacellos.pb;1;62854261;37475977684
62;1;Rafaela Losa;11/01/1971;1;Martim;Barcelos;Braga;1;Leydilson Guta;Rua de Martim Nº67;4750;Barcelos;957765841;981562874;Rafaela.Losa@piscinasbarcacellos.pb;3;93458838;16657048893
63;1;Lorenza Papa;13/10/1978;1;Moure;Barcelos;Braga;1;Hérmen Beto;Rua de Moure Nº8;4750;Barcelos;938595981;919901511;Lorenza.Papa@piscinasbarcacellos.pb;3;45117823;71207696519
64;1;Ísis Quél;26/04/1973;1;Oliveira;Barcelos;Braga;2;;Rua de Oliveira Nº19;4750;Barcelos;956496387;971785119;Ísis.Quél@piscinasbarcacellos.pb;1;94081313;30823882837
65;1;Gonçalo Binho;05/11/1990;1;Palme;Barcelos;Braga;1;Marcel Dudinha;Rua de Palme Nº82;4750;Barcelos;995224259;949299726;Gonçalo.Binho@piscinasbarcacellos.pb;1;57072263;71318273743
66;1;Helene Pipoca;15/07/1977;1;Panque;Barcelos;Braga;2;;Rua de Panque Nº53;4750;Barcelos;959577661;956110386;Helene.Pipoca@piscinasbarcacellos.pb;1;30967423;93548272927
67;1;Rhoda Quita;06/07/1982;1;Paradela;Barcelos;Braga;2;;Rua de Paradela Nº92;4750;Barcelos;930959401;967933663;Rhoda.Quita@piscinasbarcacellos.pb;3;54538179;30261435186
68;1;Morayooluwa Gui;09/03/1980;1;Aborim;Barcelos;Braga;2;;Rua de Aborim Nº75;4750;Barcelos;917484165;950133022;Morayooluwa.Gui@piscinasbarcacellos.pb;3;44349406;68724033253
69;1;Jubin Zeca;18/09/1971;1;Adães;Barcelos;Braga;1;Defence Mosca;Rua de Adães Nº93;4750;Barcelos;988871340;919507005;Jubin.Zeca@piscinasbarcacellos.pb;2;29024092;76924051973
70;1;Mayline Capela;09/10/1973;1;Airó;Barcelos;Braga;1;Heluísa Anjinha;Rua de Airó Nº41;4750;Barcelos;944951627;918256507;Mayline.Capela@piscinasbarcacellos.pb;2;57685788;52023060232
71;1;Ayana Alê;05/08/1973;1;Aldreu;Barcelos;Braga;1;Umaro Peru;Rua de Aldreu Nº36;4750;Barcelos;911802989;993547510;Ayana.Alê@piscinasbarcacellos.pb;3;46798329;20756167393
72;1;Andy Pretinho;24/06/1998;1;Alvelos;Barcelos;Braga;2;;Rua de Alvelos Nº7;4750;Barcelos;941148471;915302458;Andy.Pretinho@piscinasbarcacellos.pb;1;11490863;96055332065
73;1;Edna Duda;27/07/1970;1;Arcozelo;Barcelos;Braga;2;;Rua de Arcozelo Nº28;4750;Barcelos;971533597;937922647;Edna.Duda@piscinasbarcacellos.pb;3;66028022;38324646576
74;1;Aléxis Sabiá;08/02/1993;1;Balugães;Barcelos;Braga;2;;Rua de Balugães Nº44;4750;Barcelos;992587012;987443288;Aléxis.Sabiá@piscinasbarcacellos.pb;1;15893239;80061750668
75;1;Tshayene Tampinha;14/07/1976;1;Barcelinhos;Barcelos;Braga;2;;Rua de Barcelinhos Nº76;4750;Barcelos;982180030;971361379;Tshayene.Tampinha@piscinasbarcacellos.pb;2;69236889;53296428095
76;1;Phelix Loro;19/02/1997;1;Barqueiros;Barcelos;Braga;2;;Rua de Barqueiros Nº74;4750;Barcelos;992052351;968932883;Phelix.Loro@piscinasbarcacellos.pb;2;80993839;51336509833
77;1;Ciro Peuzinha;02/05/1997;1;Cambeses;Barcelos;Braga;2;;Rua de Cambeses Nº34;4750;Barcelos;930213430;979282226;Ciro.Peuzinha@piscinasbarcacellos.pb;2;93329663;55496709603
78;1;Dailson Chicó;22/08/1976;1;Carapeços;Barcelos;Braga;2;;Rua de Carapeços Nº10;4750;Barcelos;916790301;951824472;Dailson.Chicó@piscinasbarcacellos.pb;3;71278356;70099199817
79;1;Nirjala Nininho;11/02/1971;1;Carvalhal;Barcelos;Braga;1;Emaan Alê;Rua de Carvalhal Nº62;4750;Barcelos;919619288;961918492;Nirjala.Nininho@piscinasbarcacellos.pb;1;46870048;82196530397
80;1;Chisom Nôh;19/11/1980;1;Carvalhas;Barcelos;Braga;2;;Rua de Carvalhas Nº43;4750;Barcelos;965558601;972999964;Chisom.Nôh@piscinasbarcacellos.pb;2;93519121;46993908649
81;1;Avonlea Dida;28/02/1970;1;Cossourado;Barcelos;Braga;1;Niriani Guri;Rua de Cossourado Nº11;4750;Barcelos;969983994;956890218;Avonlea.Dida@piscinasbarcacellos.pb;2;91518692;46529526783
82;1;Núbia Guta;11/07/1992;1;Cristelo;Barcelos;Braga;1;Aksinia Quita;Rua de Cristelo Nº38;4750;Barcelos;968265186;930494500;Núbia.Guta@piscinasbarcacellos.pb;1;76895507;58679366921
83;1;Mahakdip Painho;12/02/1975;1;Fornelos;Barcelos;Braga;2;;Rua de Fornelos Nº74;4750;Barcelos;937123397;963441601;Mahakdip.Painho@piscinasbarcacellos.pb;3;66884416;77715599088
84;1;Geisa Boy;17/03/1988;1;Fragoso;Barcelos;Braga;1;Debra Binho;Rua de Fragoso Nº59;4750;Barcelos;934031669;938751809;Geisa.Boy@piscinasbarcacellos.pb;2;46689057;39442855183
85;1;Ruthnney Furinha;24/05/2000;1;Gilmonde;Barcelos;Braga;1;Chisom Beto;Rua de Gilmonde Nº7;4750;Barcelos;980633952;948681071;Ruthnney.Furinha@piscinasbarcacellos.pb;2;94172336;49501800994
86;1;Gurmehek Lilico;08/03/1984;1;Lama;Barcelos;Braga;2;;Rua de Lama Nº43;4750;Barcelos;993673993;943233593;Gurmehek.Lilico@piscinasbarcacellos.pb;1;89267710;39343114484
87;1;Mouctar Cafú;04/06/1972;1;Lijó;Barcelos;Braga;1;Janira Pezão;Rua de Lijó Nº11;4750;Barcelos;957153370;933810109;Mouctar.Cafú@piscinasbarcacellos.pb;3;58267355;32416672531
88;1;Eddie Sena;21/11/1995;1;Manhente;Barcelos;Braga;1;Denilson Alê;Rua de Manhente Nº28;4750;Barcelos;954880290;933717932;Eddie.Sena@piscinasbarcacellos.pb;1;67437228;20201591508
89;1;Sejal Dado;14/01/1994;1;Martim;Barcelos;Braga;1;Nicolly Dinha;Rua de Martim Nº71;4750;Barcelos;993100055;924231528;Sejal.Dado@piscinasbarcacellos.pb;3;57231866;79329439605
90;1;Talia Géu;02/02/1988;1;Moure;Barcelos;Braga;1;Nataniel Furinha;Rua de Moure Nº44;4750;Barcelos;912204946;943920257;Talia.Géu@piscinasbarcacellos.pb;3;67639948;77074119784
91;1;Júlia Cecéu;02/01/1998;1;;;Braga;2;;Rua de Oliveira Nº54;4750;Barcelos;969567559;924200548;Júlia.Cecéu@piscinasbarcacellos.pb;1;19297257;22804161465
92;1;Skylar Quinca;27/03/1999;1;Palme;Barcelos;Braga;1;Casimiro Gil;Rua de Palme Nº65;4750;Barcelos;924233565;956753995;Skylar.Quinca@piscinasbarcacellos.pb;1;18620034;90740068985
93;1;Issa Dedé;12/05/1988;1;Panque;Barcelos;Braga;1;Destiny Pata;Rua de Panque Nº67;4750;Barcelos;914505783;929494865;Issa.Dedé@piscinasbarcacellos.pb;3;82587759;85336191508
94;1;Damião Leléo;21/08/1999;1;Paradela;Barcelos;Braga;1;Marbin Ganso;Rua de Paradela Nº78;4750;Barcelos;950481800;951458034;Damião.Leléo@piscinasbarcacellos.pb;2;50224744;83445089020
95;1;Rania Galego;05/12/1983;1;Pereira;Barcelos;Braga;2;;Rua de Pereira Nº18;4750;Barcelos;925437195;926824972;Rania.Galego@piscinasbarcacellos.pb;1;73583460;58990443609
96;1;Sarina Guinho;12/07/1970;1;Perelhal;Barcelos;Braga;2;;Rua de Perelhal Nº51;4750;Barcelos;910255360;975727368;Sarina.Guinho@piscinasbarcacellos.pb;3;44158511;35320277088
97;1;Zhen Losa;14/12/1976;1;Pousa;Barcelos;Braga;2;;Rua de Pousa Nº41;4750;Barcelos;942715538;934122307;Zhen.Losa@piscinasbarcacellos.pb;3;95316591;75499810170
98;1;Prinsha Dinha;17/02/1996;1;Moure;Barcelos;Braga;1;Salvio Leléo;Rua de Moure Nº20;4750;Barcelos;954336237;951435087;Prinsha.Dinha@piscinasbarcacellos.pb;1;45889571;61367730521
99;1;Kiezi Pipo;08/05/1982;1;Oliveira;Barcelos;Braga;1;Khloé Huck;Rua de Oliveira Nº43;4750;Barcelos;968905180;988881526;Kiezi.Pipo@piscinasbarcacellos.pb;1;48674180;15363060467
100;1;Tawila Dál;15/06/1971;1;Palme;Barcelos;Braga;1;Malia Flor;Rua de Palme Nº8;4750;Barcelos;981598851;980010509;Tawila.Dál@piscinasbarcacellos.pb;2;69542798;98031647125
101;1;Jerykson Belo;27/12/1984;1;Panque;Barcelos;Braga;1;Cristóvão Tico;Rua de Panque Nº15;4750;Barcelos;920623622;912056522;Jerykson.Belo@piscinasbarcacellos.pb;2;92844186;49334470941
102;1;Kendall Linda;21/03/1990;1;Paradela;Barcelos;Braga;2;;Rua de Paradela Nº36;4750;Barcelos;949114502;920893306;Kendall.Linda@piscinasbarcacellos.pb;3;69345697;75845043106
103;1;Maxim Bina;28/12/1977;1;Pereira;Barcelos;Braga;2;;Rua de Pereira Nº5;4750;Barcelos;940094459;965515666;Maxim.Bina@piscinasbarcacellos.pb;3;95390143;58557436879
104;1;César Cecéu;17/12/1974;1;Perelhal;Barcelos;Braga;1;Estefany Dinha;Rua de Perelhal Nº17;4750;Barcelos;947430698;988588294;César.Cecéu@piscinasbarcacellos.pb;3;55721194;10121136296
105;1;Rania Láu;27/10/1998;1;Aborim;Barcelos;Braga;2;;Rua de Aborim Nº88;4750;Barcelos;995791466;921110869;Rania.Láu@piscinasbarcacellos.pb;1;68428488;86805736764
106;1;Nuño Dedé;06/07/1989;1;Adães;Barcelos;Braga;2;;Rua de Adães Nº59;4750;Barcelos;975622388;950051659;Nuño.Dedé@piscinasbarcacellos.pb;1;95175405;92313472232
107;1;Jayssan Tita;18/01/1972;1;Airó;Barcelos;Braga;1;Shyom Chiquinha;Rua de Airó Nº79;4750;Barcelos;972177872;977850583;Jayssan.Tita@piscinasbarcacellos.pb;3;74411803;69716844414
108;1;Xénon Sena;05/07/1973;1;Aldreu;Barcelos;Braga;2;;Rua de Aldreu Nº15;4750;Barcelos;924905048;946983601;Xénon.Sena@piscinasbarcacellos.pb;2;68937742;23341339611
109;1;Rosário Duda;11/07/1972;1;Alvelos;Barcelos;Braga;2;;Rua de Alvelos Nº23;4750;Barcelos;974623711;911601649;Rosário.Duda@piscinasbarcacellos.pb;2;84254660;64751497745
100;1;Timéo Dão;03/01/2000;1;Arcozelo;Barcelos;Braga;2;;Rua de Arcozelo Nº81;4750;Barcelos;931007753;983154571;Timéo.Dão@piscinasbarcacellos.pb;2;64400530;46576464061
111;1;Adonias Netinho;26/04/1980;1;Balugães;Barcelos;Braga;2;;Rua de Balugães Nº75;4750;Barcelos;916028282;952524320;Adonias.Netinho@piscinasbarcacellos.pb;1;44249944;73845318376
112;1;Adame Milu;24/12/1988;1;Barcelinhos;Barcelos;Braga;1;Jagger Lalinha;Rua de Barcelinhos Nº31;4750;Barcelos;997440372;954147064;Adame.Milu@piscinasbarcacellos.pb;1;43047541;54256223558
113;1;Otília Xuxa;11/04/1985;1;Barqueiros;Barcelos;Braga;1;Aleck Bél;Rua de Barqueiros Nº24;4750;Barcelos;996145313;974537874;Otília.Xuxa@piscinasbarcacellos.pb;1;51692725;10680284864
114;1;Reneckson Gil;25/12/1989;1;Cambeses;Barcelos;Braga;1;Junior Bola;Rua de Cambeses Nº10;4750;Barcelos;927689990;955974718;Reneckson.Gil@piscinasbarcacellos.pb;3;78616797;68005106295
115;1;Kiuma Déo;06/06/1974;1;Carapeços;Barcelos;Braga;2;;Rua de Carapeços Nº88;4750;Barcelos;935783559;927346147;Kiuma.Déo@piscinasbarcacellos.pb;1;19499326;87335748549
116;1;Dhavid Alê;09/09/1982;1;Carvalhal;Barcelos;Braga;1;Malu Jujú;Rua de Carvalhal Nº8;4750;Barcelos;995749028;997655871;Dhavid.Alê@piscinasbarcacellos.pb;2;28495641;10106356549
117;1;Wayamy Papa;07/11/1987;1;Carvalhas;Barcelos;Braga;2;;Rua de Carvalhas Nº58;4750;Barcelos;942978667;991510998;Wayamy.Papa@piscinasbarcacellos.pb;2;41823216;86227363368
118;1;Juan Xica;13/11/1970;1;Cossourado;Barcelos;Braga;2;;Rua de Cossourado Nº85;4750;Barcelos;999305415;943030768;Juan.Xica@piscinasbarcacellos.pb;3;46234815;56344583959
119;1;Joliam Bananinha;10/05/1973;1;Cristelo;Barcelos;Braga;1;Áurea Capela;Rua de Cristelo Nº42;4750;Barcelos;945837750;912967124;Joliam.Bananinha@piscinasbarcacellos.pb;2;43116579;75977070464
120;1;Shayana Docinho;13/12/1980;1;Fornelos;Barcelos;Braga;1;Emanuel Dóia;Rua de Fornelos Nº84;4750;Barcelos;997495829;944499280;Shayana.Docinho@piscinasbarcacellos.pb;2;11524725;27930601982
121;1;Vanessa Neto;13/05/1983;1;Fragoso;Barcelos;Braga;2;;Rua de Fragoso Nº8;4750;Barcelos;967481918;987266261;Vanessa.Neto@piscinasbarcacellos.pb;3;22036961;77200592091
122;1;Hamad Kaká;15/03/1992;1;Gilmonde;Barcelos;Braga;1;Eiman JP;Rua de Gilmonde Nº18;4750;Barcelos;956657510;952828250;Hamad.Kaká@piscinasbarcacellos.pb;1;84774711;59809808837
123;1;Enrique Teco;25/04/1990;1;Lama;Barcelos;Braga;2;;Rua de Lama Nº36;4750;Barcelos;963205591;910262694;Enrique.Teco@piscinasbarcacellos.pb;3;90072621;69109002365
124;1;Sejal Careca;09/12/1988;1;Lijó;Barcelos;Braga;1;Ayhane Maluquinho;Rua de Lijó Nº71;4750;Barcelos;947597281;997554457;Sejal.Careca@piscinasbarcacellos.pb;1;79191544;13043937701
125;1;Délia Riquinho;10/02/1974;1;Manhente;Barcelos;Braga;1;Aaliyah Loro;Rua de Manhente Nº86;4750;Barcelos;916127931;978729738;Délia.Riquinho@piscinasbarcacellos.pb;2;20332309;32942804175
